Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,401
Base Time Seconds,1522196111
Base Time Fractional,.233272980
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-8.791425329946e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-9.9997444152832,Volt DC,10,T,2W,F,F,03/28/2018,00:15:11,.233272980
2,-8.415271963713e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-9.8998889923096,Volt DC,10,T,2W,F,F,03/28/2018,00:15:11,.303685040
3,-8.157538218256e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-9.8000345230103,Volt DC,10,T,2W,F,F,03/28/2018,00:15:11,.374070220
4,-8.011252816686e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-9.6997709274292,Volt DC,10,T,2W,F,F,03/28/2018,00:15:11,.444450520
5,-7.885866466495e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-9.5999011993408,Volt DC,10,T,2W,F,F,03/28/2018,00:15:11,.514838120
6,-7.739587317701e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-9.4997272491455,Volt DC,10,T,2W,F,F,03/28/2018,00:15:11,.585211720
7,-7.607235943397e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-9.3998966217041,Volt DC,10,T,2W,F,F,03/28/2018,00:15:11,.655621360
8,-7.481847319468e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-9.3000326156616,Volt DC,10,T,2W,F,F,03/28/2018,00:15:11,.726013300
9,-7.405225233015e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-9.1998434066772,Volt DC,10,T,2W,F,F,03/28/2018,00:15:11,.796415680
10,-7.272878406184e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-9.0999574661255,Volt DC,10,T,2W,F,F,03/28/2018,00:15:11,.866806380
11,-7.182321724031e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-8.9997491836548,Volt DC,10,T,2W,F,F,03/28/2018,00:15:11,.937189820
12,-7.098727792254e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-8.8999090194702,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.007595720
13,-7.001210065027e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-8.8000802993774,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.077986200
14,-6.875827125441e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-8.6998691558838,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.148386560
15,-6.792233193664e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-8.5999498367310,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.218767880
16,-6.652917363681e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-8.4997558593750,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.289168360
17,-6.597190349567e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-8.3998823165894,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.359555860
18,-6.506634804282e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-8.3000440597534,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.429922680
19,-6.381250727827e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-8.1998310089111,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.500307260
20,-6.311590823316e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-8.0999975204468,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.570685460
21,-6.214067411747e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-7.9997839927673,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.641074640
22,-6.123514140199e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-7.8998961448669,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.711453960
23,-6.039925892765e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-7.8000555038452,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.781820500
24,-5.949370915914e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-7.6998882293701,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.852221200
25,-5.86577868944e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-7.6000189781189,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.922607780
26,-5.747357363362e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-7.4998049736023,Volt DC,10,T,2W,F,F,03/28/2018,00:15:12,.992990460
27,-5.684667598871e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-7.3999156951904,Volt DC,10,T,2W,F,F,03/28/2018,00:15:13,.063375020
28,-5.566247978095e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-7.3000173568726,Volt DC,10,T,2W,F,F,03/28/2018,00:15:13,.133770540
29,-5.489624186339e-07,Amp DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-7.1998105049133,Volt DC,10,T,2W,F,F,03/28/2018,00:15:13,.204173140
